frame_id,timestamp,object_id,speed_kmph,x1,y1,x2,y2
1,0.03,7,0.0,192,151,228,183
2,0.07,7,0.0,193,151,229,183
3,0.1,7,0.0,196,151,231,183
4,0.13,7,0.0,197,152,232,183
5,0.17,7,0.0,197,151,233,184
6,0.2,7,0.0,197,151,233,184
7,0.23,7,0.0,196,152,233,185
8,0.27,7,0.0,198,151,235,186
9,0.3,7,0.0,199,151,237,186
10,0.33,7,0.0,199,151,238,187
11,0.37,5,0.0,200,151,239,188
12,0.4,5,0.0,202,151,240,188
13,0.43,7,0.0,202,151,242,189
14,0.47,7,0.0,198,151,240,190
15,0.5,7,0.0,196,151,239,191
16,0.53,7,0.0,196,152,240,192
17,0.57,7,0.0,195,151,241,193
18,0.6,7,0.0,198,152,245,194
19,0.63,7,0.0,204,152,250,195
20,0.67,7,0.0,203,152,249,195
21,0.7,7,0.0,206,153,251,195
22,0.73,7,0.0,202,153,249,195
23,0.77,7,0.0,201,153,249,196
24,0.8,7,0.0,199,153,249,197
25,0.83,7,0.0,199,154,251,198
26,0.87,7,0.0,207,155,258,199
27,0.9,7,0.0,208,155,259,199
28,0.93,7,0.0,205,155,258,200
29,0.97,7,0.0,212,156,264,201
30,1.0,7,0.0,206,156,261,202
31,1.03,7,0.0,205,156,262,203
32,1.07,7,0.0,212,156,270,205
33,1.1,7,0.0,211,157,271,207
34,1.13,7,0.0,209,157,271,208
35,1.17,7,0.0,208,157,272,208
36,1.2,7,0.0,210,157,275,209
37,1.23,7,0.0,211,156,277,210
38,1.27,7,0.0,209,155,279,211
39,1.3,7,0.0,209,155,282,212
40,1.33,7,0.0,207,154,284,215
41,1.37,7,0.0,207,154,286,215
42,1.4,5,0.0,207,153,289,217
43,1.43,7,0.0,210,155,292,218
44,1.47,7,0.0,210,153,296,219
45,1.5,7,0.0,212,156,298,222
46,1.53,7,0.0,211,156,301,223
47,1.57,5,0.0,211,154,306,224
48,1.6,5,0.0,210,152,309,226
49,1.63,5,0.0,210,151,312,227
50,1.67,5,0.0,210,151,315,229
51,1.7,5,0.0,210,149,320,231
52,1.73,5,0.0,210,148,324,233
53,1.77,5,0.0,211,147,330,235
54,1.8,5,0.0,212,147,334,237
55,1.83,5,0.0,213,146,338,240
56,1.87,5,0.0,214,147,342,242
57,1.9,5,0.0,216,148,344,244
58,1.93,5,0.0,218,147,350,246
59,1.97,5,0.0,219,148,354,248
60,2.0,5,0.0,220,146,359,250
60,2.0,2,26.0,614,218,636,251
61,2.03,5,0.0,220,144,366,253
61,2.03,2,26.0,610,217,632,250
62,2.07,5,0.0,223,149,369,257
63,2.1,5,0.0,226,150,373,259
64,2.13,5,0.0,228,151,378,261
65,2.17,5,0.0,229,151,383,264
66,2.2,5,0.0,231,152,389,267
66,2.2,2,26.0,558,209,639,250
67,2.23,5,0.0,232,153,396,270
67,2.23,2,26.0,551,207,636,250
68,2.27,5,0.0,235,155,402,274
68,2.27,2,26.0,546,206,632,248
69,2.3,5,0.0,238,157,408,277
69,2.3,2,26.0,540,205,626,247
70,2.33,5,0.0,240,157,415,281
70,2.33,2,26.0,530,203,618,246
71,2.37,5,0.0,242,157,424,284
71,2.37,2,26.0,521,202,609,244
72,2.4,5,0.0,242,156,432,289
72,2.4,2,26.0,514,201,599,241
73,2.43,2,26.0,505,199,591,239
74,2.47,2,26.0,495,197,581,237
75,2.5,2,26.0,487,195,575,235
75,2.5,2,26.0,596,192,621,213
76,2.53,2,26.0,481,194,565,232
77,2.57,2,26.0,473,192,557,230
78,2.6,2,26.0,472,192,553,229
79,2.63,2,26.0,468,191,547,228
80,2.67,2,26.0,462,189,539,225
81,2.7,2,26.0,185,152,208,172
81,2.7,7,0.0,266,157,515,329
82,2.73,2,26.0,186,152,209,173
82,2.73,7,0.0,266,157,526,335
83,2.77,2,26.0,186,152,210,174
84,2.8,2,26.0,186,152,211,174
84,2.8,7,0.0,271,158,547,347
85,2.83,2,26.0,187,153,212,174
86,2.87,2,26.0,187,153,213,175
86,2.87,7,0.0,280,159,569,354
87,2.9,2,26.0,187,153,213,176
87,2.9,7,0.0,285,159,580,356
87,2.9,2,26.0,597,197,622,218
88,2.93,2,26.0,187,154,213,176
88,2.93,2,26.0,593,198,616,217
89,2.97,2,26.0,188,154,214,177
90,3.0,2,26.0,188,154,215,177
91,3.03,2,26.0,188,154,215,178
92,3.07,2,26.0,190,155,217,178
93,3.1,2,26.0,190,155,218,179
94,3.13,2,26.0,191,155,219,179
95,3.17,2,26.0,191,155,220,180
96,3.2,2,26.0,191,155,221,181
97,3.23,2,26.0,191,155,223,181
98,3.27,7,0.0,190,153,224,181
99,3.3,2,26.0,194,156,224,181
100,3.33,2,26.0,194,156,226,182
101,3.37,2,26.0,193,155,228,184
102,3.4,2,26.0,191,152,230,184
103,3.43,2,26.0,190,151,231,185
104,3.47,2,26.0,190,150,232,186
105,3.5,2,26.0,190,150,234,187
105,3.5,2,26.0,328,165,383,188
106,3.53,2,26.0,191,150,234,187
106,3.53,2,26.0,325,166,379,189
107,3.57,2,26.0,191,150,236,188
107,3.57,2,26.0,322,166,375,188
108,3.6,2,26.0,193,151,238,189
108,3.6,2,26.0,318,165,370,187
109,3.63,2,26.0,200,156,239,189
109,3.63,2,26.0,317,165,364,185
110,3.67,2,26.0,195,152,239,189
110,3.67,2,26.0,314,165,358,183
111,3.7,2,26.0,197,155,239,190
111,3.7,2,26.0,310,164,354,183
112,3.73,2,26.0,201,155,243,191
112,3.73,2,26.0,307,163,352,183
113,3.77,2,26.0,204,157,245,192
113,3.77,2,26.0,305,163,349,182
114,3.8,2,26.0,205,157,247,193
114,3.8,2,26.0,304,162,346,179
114,3.8,7,0.0,199,152,247,192
115,3.83,2,26.0,207,158,249,193
115,3.83,2,26.0,302,162,341,178
115,3.83,7,0.0,199,151,248,192
116,3.87,2,26.0,299,161,337,177
116,3.87,7,0.0,195,148,248,193
117,3.9,2,26.0,294,161,332,177
117,3.9,7,0.0,184,135,254,194
118,3.93,2,26.0,292,160,334,177
118,3.93,7,0.0,180,129,258,196
119,3.97,2,26.0,290,160,332,177
119,3.97,7,0.0,181,129,260,197
119,3.97,7,0.0,199,149,255,197
120,4.0,2,26.0,288,160,327,177
120,4.0,7,0.0,196,147,257,198
121,4.03,2,26.0,287,160,327,177
121,4.03,2,26.0,202,152,257,198
122,4.07,2,26.0,286,159,325,176
122,4.07,2,26.0,205,155,259,199
122,4.07,7,0.0,205,156,260,199
122,4.07,2,26.0,286,159,314,175
123,4.1,2,26.0,283,159,322,175
123,4.1,7,0.0,205,153,261,200
123,4.1,2,26.0,206,156,261,199
124,4.13,2,26.0,281,158,319,174
124,4.13,7,0.0,205,153,264,201
124,4.13,2,26.0,206,156,263,201
125,4.17,2,26.0,279,158,317,174
125,4.17,7,0.0,208,154,266,202
125,4.17,2,26.0,207,156,266,202
126,4.2,2,26.0,278,158,314,173
126,4.2,7,0.0,208,152,269,204
126,4.2,2,26.0,208,155,269,203
127,4.23,2,26.0,277,158,311,172
127,4.23,7,0.0,202,143,277,206
128,4.27,2,26.0,279,158,311,172
128,4.27,7,0.0,202,139,281,207
129,4.3,5,0.0,203,137,284,208
129,4.3,7,0.0,200,139,286,208
130,4.33,7,0.0,205,136,286,210
131,4.37,7,0.0,205,136,287,211
132,4.4,7,0.0,207,136,290,213
133,4.43,7,0.0,209,136,293,215
134,4.47,7,0.0,212,136,295,216
135,4.5,7,0.0,205,136,291,217
136,4.53,7,0.0,205,136,293,219
137,4.57,7,0.0,211,136,300,220
138,4.6,7,0.0,214,136,304,221
139,4.63,7,0.0,203,130,303,224
140,4.67,7,0.0,197,123,307,226
141,4.7,7,0.0,194,118,312,228
142,4.73,7,0.0,193,117,315,230
143,4.77,7,0.0,195,119,318,232
144,4.8,7,0.0,200,126,319,234
145,4.83,5,0.0,202,130,321,235
146,4.87,5,0.0,206,133,326,238
147,4.9,5,0.0,209,135,331,241
148,4.93,7,0.0,209,135,335,243
149,4.97,7,0.0,207,133,342,246
150,5.0,7,0.0,207,131,348,249
151,5.03,7,0.0,205,130,354,252
152,5.07,7,0.0,205,130,361,256
152,5.07,3,0.0,202,212,218,238
153,5.1,7,0.0,206,130,366,259
153,5.1,3,0.0,203,213,219,239
154,5.13,7,0.0,206,130,373,263
154,5.13,3,0.0,204,214,221,242
155,5.17,7,0.0,207,130,378,266
155,5.17,3,0.0,204,211,225,244
156,5.2,3,0.0,206,214,226,247
157,5.23,3,0.0,208,217,228,249
158,5.27,3,0.0,211,221,230,251
161,5.37,7,0.0,215,129,421,290
162,5.4,3,0.0,218,231,242,263
163,5.43,3,0.0,218,227,247,266
164,5.47,3,0.0,220,229,250,270
169,5.63,7,0.0,233,130,499,331
175,5.83,7,0.0,248,129,539,340
184,6.13,3,0.0,313,290,371,358
185,6.17,2,26.0,321,299,373,359
196,6.53,7,0.0,299,130,601,336
197,6.57,7,0.0,263,72,640,341
198,6.6,7,0.0,283,104,631,341
199,6.63,7,0.0,292,121,627,343
200,6.67,7,0.0,296,125,627,342
201,6.7,7,0.0,298,127,629,341
202,6.73,7,0.0,308,129,606,317
203,6.77,7,0.0,297,128,632,340
206,6.87,7,0.0,303,129,640,344
207,6.9,7,0.0,304,128,640,344
208,6.93,7,0.0,309,129,619,330
210,7.0,2,26.0,171,170,200,193
211,7.03,2,26.0,170,167,203,193
211,7.03,7,0.0,319,127,640,347
212,7.07,2,26.0,170,167,204,194
213,7.1,2,26.0,170,166,206,194
214,7.13,2,26.0,169,164,208,196
215,7.17,2,26.0,169,163,210,197
215,7.17,7,0.0,337,125,640,353
216,7.2,2,26.0,169,162,211,198
216,7.2,7,0.0,342,123,640,344
217,7.23,2,26.0,168,163,211,199
217,7.23,7,0.0,359,128,640,348
218,7.27,7,0.0,372,128,640,349
219,7.3,2,26.0,166,157,218,202
220,7.33,2,26.0,167,161,215,203
221,7.37,2,26.0,167,159,217,205
222,7.4,2,26.0,166,157,219,206
223,7.43,7,0.0,169,160,219,207
224,7.47,2,26.0,173,167,217,208
225,7.5,7,0.0,171,164,220,210
226,7.53,2,26.0,172,163,221,211
227,7.57,2,26.0,172,163,222,211
228,7.6,2,26.0,173,164,224,213
229,7.63,2,26.0,174,165,225,215
230,7.67,2,26.0,173,164,226,216
231,7.7,2,26.0,182,171,229,217
232,7.73,2,26.0,186,174,231,218
233,7.77,2,26.0,188,175,233,220
234,7.8,2,26.0,188,176,235,222
